from,to,type
afdjugendbw:1054,frohnmaier:2691,forward
afdjugendbw:1006,afdfraktionimbundestag:705,forward
afdjugendbw:1005,heimatkurier:6646,forward
afdjugendbw:1004,jadeutschland:1755,forward
afdjugendbw:1003,jadeutschland:1749,forward
afdjugendbw:1002,jadeutschland:1748,forward
afdjugendbw:997,jadeutschland:1743,forward
afdjugendbw:996,jadeutschland:1741,forward
afdjugendbw:995,generationdeutschland:969,forward
afdjugendbw:993,jadeutschland:1738,forward
afdjugendbw:992,jadeutschland:1730,forward
afdjugendbw:991,jadeutschland:1726,forward
afdjugendbw:990,tomaszfroelich:292,forward
afdjugendbw:989,jadeutschland:1723,forward
afdjugendbw:976,heimatkurier:6552,forward
afdjugendbw:967,jadeutschland:1715,forward
afdjugendbw:966,jadeutschland:1714,forward
afdjugendbw:962,tomaszfroelich:257,forward
afdjugendbw:945,ein_prozent:3212,forward
afdjugendbw:904,generation_thueringen:1004,forward
afdjugendbw:903,jadeutschland:1690,forward
afdjugendbw:901,heimatkurier:6384,forward
afdjugendbw:880,jadeutschland:1684,forward
afdjugendbw:841,jadeutschland:1677,forward
afdjugendbw:795,generationdeutschland:937,forward
afdjugendbw:766,afdjugendbw:763,forward
afdjugendbw:760,generationdeutschland:923,forward
afdjugendbw:746,jadeutschland:1556,forward
afdjugendbw:708,jadeutschland:1542,forward
afdjugendbw:696,ibsachsen:658,forward
afdjugendbw:684,jadeutschland:1510,forward
afdjugendbw:563,afdjugendbw:561,forward
castellaurora:621,club451:1653,forward
castellaurora:608,info_direkt:8928,forward
castellaurora:596,reinweiblich:2438,forward
castellaurora:581,jungeuropa:3089,forward
castellaurora:564,castellaurora:562,reply
castellaurora:555,fabianjankafd:282,forward
castellaurora:554,identitaereoesterreich:768,forward
castellaurora:550,castellaurora:547,reply
castellaurora:548,fabianjankafd:273,forward
castellaurora:545,castellaurora:529,forward
castellaurora:531,zentrum_chemnitz:101,forward
castellaurora:493,komitet212:110,forward
castellaurora:488,identitaereoesterreich:726,forward
castellaurora:450,heimatkurier:6478,forward
castellaurora:424,ein_prozent:3139,forward
castellaurora:415,castellaurora:412,reply
castellaurora:406,identitaereoesterreich:605,forward
jadeutschland:1739,generationdeutschland:969,forward
jadeutschland:1729,rfjooe:357,forward
jadeutschland:1725,tomaszfroelich:292,forward
jadeutschland:1720,heimatkurier:6552,forward
jadeutschland:1716,generationdeutschland:962,forward
jadeutschland:1713,ein_prozent:3214,forward
jadeutschland:1712,ein_prozent:3212,forward
jadeutschland:1700,ja_sachsen:1077,forward
jadeutschland:1683,generation_thueringen:974,forward
jadeutschland:1672,jungealternativenrw:1299,forward
jadeutschland:1664,ein_prozent:3155,forward
jadeutschland:1658,jungealternativenrw:1256,forward
jadeutschland:1652,ein_prozent:3139,forward
jadeutschland:1635,ja_sachsen:984,forward
jadeutschland:1631,generationdeutschland:928,forward
jadeutschland:1625,generationdeutschland:925,forward
jadeutschland:1617,afdjugendbw:763,forward
jadeutschland:1616,afdjugendbw:763,forward
jadeutschland:1614,afdjugendbw:762,forward
jadeutschland:1600,jadeutschland:1598,reply
jadeutschland:1568,jadresden:538,forward
jadeutschland:1553,generationdeutschland:911,forward
jadeutschland:1537,generationdeutschland:896,forward
jadeutschland:1534,jungealternativenrw:1170,forward
jadeutschland:1532,jungealternativenrw:1166,forward
jadeutschland:1519,ja_sachsen:886,forward
jadeutschland:1515,krah_direkt:426,forward
jadeutschland:1469,afdjugendbw:638,forward
jadeutschland:1448,aktion451:69,forward
jadeutschland:1444,aktion451:65,forward
jadeutschland:1440,aktion451:48,forward
generationdeutschland:978,franzschmidafd:158,forward
generationdeutschland:974,jungealternativesh:667,forward
generationdeutschland:968,jungealternativeschwaben:131,forward
generationdeutschland:945,jungealternativeschwaben:105,forward
generationdeutschland:926,jadeutschland:1628,forward
generationdeutschland:915,generationdeutschland:907,reply
generationdeutschland:897,jadeutschland:1541,forward
generationdeutschland:856,jungealternativeschwaben:52,forward
generationdeutschland:852,jungealternativeschwaben:45,forward
generationdeutschland:846,jungealternativeschwaben:34,forward
generationdeutschland:838,jungealternativeschwaben:21,forward
generationdeutschland:834,jungealternativeschwaben:9,forward
generationdeutschland:673,generationdeutschland:673,link
tomaszfroelich:403,freilichmagazin:13255,forward
tomaszfroelich:398,irmhild_bossdorf:412,forward
tomaszfroelich:369,alexsellberlin:432,forward
tomaszfroelich:174,idearium_debattennetzwerk:40,forward
tomaszfroelich:134,tomaszfroelich:133,reply
tomaszfroelich:122,afdkanalde:101,forward
tomaszfroelich:121,afdkanalde:100,forward
ein_prozent:3412,dominikkaufner:398,forward
ein_prozent:3399,franzschmidafd:410,forward
ein_prozent:3395,christopherdroesslerafd:256,forward
ein_prozent:3390,ibsachsen:919,forward
ein_prozent:3387,zurlage:279,forward
ein_prozent:3376,franzschmidafd:329,link
ein_prozent:3351,robertteske:231,forward
ein_prozent:3275,robertteske:186,forward
ein_prozent:3246,robertteske:129,forward
ein_prozent:3235,wolfpmsoffiziell:1378,forward
ein_prozent:3165,einprozentvideos:47,forward
ein_prozent:3159,einprozentvideos:46,forward
ein_prozent:3122,einprozentvideos:45,forward
info_direkt:9068,rtvooe:3340,forward
info_direkt:9048,rtvooe:3318,forward
info_direkt:9039,rtvooe:3290,forward
info_direkt:9030,info_direkt:9012,link
info_direkt:9023,rtvooe:3258,forward
info_direkt:9014,rtvooe:3230,forward
info_direkt:9002,rtvooe:3212,forward
info_direkt:8991,rtvooe:3182,forward
info_direkt:8970,rtvooe:3144,forward
info_direkt:8954,rtvooe:3112,forward
info_direkt:8932,rtvooe:3076,forward
info_direkt:8904,rtvooe:3034,forward
info_direkt:8840,martinsellnervideos:2840,link
info_direkt:8840,martinsellnervideos:2805,link
info_direkt:8766,wilhelmkachel:1334,forward
generation_thueringen:1163,afdthueringen:1682,forward
generation_thueringen:1150,robertteske:166,forward
generation_thueringen:1145,jungealternativesh:667,forward
generation_thueringen:1137,jadeutschland:1749,forward
generation_thueringen:1136,jadeutschland:1748,forward
generation_thueringen:1123,jadeutschland:1743,forward
generation_thueringen:1122,jadeutschland:1742,forward
generation_thueringen:1120,generationdeutschland:969,forward
generation_thueringen:1119,robertteske:125,forward
generation_thueringen:1117,jadeutschland:1738,forward
generation_thueringen:1116,afderfurt:1187,forward
generation_thueringen:1115,rfjooe:357,forward
generation_thueringen:1105,robertteske:120,forward
generation_thueringen:1103,robertteske:119,forward
generation_thueringen:1100,robertteske:116,forward
generation_thueringen:1082,jadeutschland:1718,forward
generation_thueringen:1037,aktion451:226,forward
generation_thueringen:1036,jadeutschland:1717,forward
generation_thueringen:1035,jadeutschland:1715,forward
generation_thueringen:1029,ein_prozent:3212,forward
generation_thueringen:1002,reconquista21:491,forward
generation_thueringen:1001,heimatkurier:6387,forward
generation_thueringen:996,reconquista21:490,forward
generation_thueringen:981,aktion451:204,forward
generation_thueringen:980,ein_prozent:3189,forward
generation_thueringen:976,jadeutschland:1685,forward
generation_thueringen:951,jungealternativenrw:1312,forward
generation_thueringen:940,afdjugendbw:852,forward
generation_thueringen:938,jadeutschland:1677,forward
generation_thueringen:914,jadeutschland:1668,forward
generation_thueringen:900,jadeutschland:1665,forward
generation_thueringen:898,ein_prozent:3155,forward
wilhelmkachel:1431,alex_malenki:2231,forward
wilhelmkachel:1420,fabianjankafd:419,forward
wilhelmkachel:1398,lukreta:2655,forward
wilhelmkachel:1382,fabianjankafd:358,link
wilhelmkachel:1359,grimbart_studio:92,forward
wilhelmkachel:1338,lukreta:2502,forward
wilhelmkachel:1329,dominikkaufner:292,forward
wilhelmkachel:1306,tannwaldmedia:237,forward
wilhelmkachel:1222,tannwaldmedia:234,forward
wilhelmkachel:1216,tannwaldmedia:233,forward
wilhelmkachel:1209,tannwaldmedia:232,forward
wilhelmkachel:1149,tannwaldmedia:228,forward
visionremigrationch:81,jungetat:530,forward
visionremigrationch:77,jungetat:469,forward
visionremigrationch:76,jungetat:467,forward
visionremigrationch:71,jungetat:462,forward
visionremigrationch:56,aktivistmanuel:59,forward
visionremigrationch:52,vorstadtaktivist:74,forward
matthiashelferich:2362,jungealternativenrw:1477,forward
matthiashelferich:2356,dekurier:17636,forward
matthiashelferich:2355,deutschlandkuriervideo:3378,forward
matthiashelferich:2354,freilichmagazin:13457,forward
matthiashelferich:2347,dekurier:17590,forward
matthiashelferich:2345,irmhild_bossdorf:496,forward
matthiashelferich:2343,deutschlandkuriervideo:3367,forward
matthiashelferich:2342,jungeuropa:3241,forward
matthiashelferich:2336,jungealternativenrw:1468,forward
matthiashelferich:2320,christian_zaum_afd:272,forward
matthiashelferich:2307,jungealternativenrw:1460,forward
matthiashelferich:2306,dekurier:17437,forward
matthiashelferich:2296,jungealternativenrw:1459,forward
matthiashelferich:2288,dieganzegeschichte:72,forward
matthiashelferich:2282,jungealternativenrw:1457,forward
matthiashelferich:2271,christian_zaum_afd:257,forward
matthiashelferich:2254,afdthueringen:1682,forward
matthiashelferich:2240,freilichmagazin:13264,forward
matthiashelferich:2239,jungeuropa:3203,forward
matthiashelferich:2237,jungealternativenrw:1455,forward
matthiashelferich:2211,irmhild_bossdorf:444,forward
matthiashelferich:2203,jungealternativenrw:1452,forward
matthiashelferich:2199,freilichmagazin:13203,forward
matthiashelferich:2188,wilhelmkachel:1414,forward
matthiashelferich:2186,freilichmagazin:13193,forward
matthiashelferich:2181,zurlage:366,forward
matthiashelferich:2178,zurlage:364,forward
matthiashelferich:2177,zurlage:363,forward
matthiashelferich:2173,zurlage:357,forward
matthiashelferich:2172,info_direkt:8992,forward
matthiashelferich:2170,zurlage:352,link
matthiashelferich:2170,zurlage:354,forward
matthiashelferich:2169,zurlage:353,forward
matthiashelferich:2168,afd_duesseldorf:1375,forward
matthiashelferich:2167,zurlage:352,forward
matthiashelferich:2166,zurlage:351,forward
matthiashelferich:2165,zurlage:350,forward
matthiashelferich:2164,zurlage:349,forward
matthiashelferich:2163,zurlage:348,forward
matthiashelferich:2162,zurlage:347,forward
matthiashelferich:2161,zurlage:346,forward
matthiashelferich:2150,irmhild_bossdorf:417,forward
matthiashelferich:2146,benediktkaiser:1988,forward
matthiashelferich:2144,jungeuropa:3152,forward
matthiashelferich:2132,jungealternativenrw:1440,forward
matthiashelferich:2131,christian_zaum_afd:234,forward
matthiashelferich:2128,afdsaxlt:1866,forward
matthiashelferich:2121,benediktkaiser:1979,forward
matthiashelferich:2117,benediktkaiser:1977,forward
matthiashelferich:2116,jungeuropa:3140,forward
matthiashelferich:2097,zurlage:338,forward
matthiashelferich:2095,irmhild_bossdorf:396,forward
matthiashelferich:2088,christian_zaum_afd:224,forward
matthiashelferich:2083,fabianjankafd:366,forward
matthiashelferich:2078,voxeuropaherald:1040,forward
matthiashelferich:2076,martinctkohler:585,forward
matthiashelferich:2067,irmhild_bossdorf:388,forward
matthiashelferich:2060,jungealternativenrw:1428,forward
matthiashelferich:2059,wilhelmkachel:1383,forward
ibsachsen:961,zentrum_chemnitz:165,forward
ibsachsen:960,zentrum_chemnitz:164,forward
ibsachsen:954,zentrum_chemnitz:159,forward
ibsachsen:953,zentrum_chemnitz:158,forward
ibsachsen:950,zentrum_chemnitz:155,forward
ibsachsen:949,identitaeredeutschland:2238,forward
ibsachsen:947,aufdiestrasse:276,forward
ibsachsen:945,zentrum_chemnitz:152,forward
ibsachsen:944,zentrum_chemnitz:151,forward
ibsachsen:941,zentrum_chemnitz:148,forward
ibsachsen:940,zentrum_chemnitz:142,link
ibsachsen:940,zentrum_chemnitz:147,forward
ibsachsen:935,zentrum_chemnitz:143,forward
ibsachsen:934,zentrum_chemnitz:142,forward
ibsachsen:930,zentrum_chemnitz:138,forward
ibsachsen:922,identitaeredeutschland:2227,forward
ibsachsen:920,ein_prozent:3391,forward
ibsachsen:918,zentrum_chemnitz:136,forward
ibsachsen:917,zentrum_chemnitz:135,forward
ibsachsen:913,zentrum_chemnitz:131,forward
ibsachsen:907,identitaeredeutschland:2195,forward
ibsachsen:905,zentrum_chemnitz:128,forward
ibsachsen:904,zentrum_chemnitz:127,forward
ibsachsen:903,zentrum_chemnitz:126,forward
ibsachsen:894,zentrum_chemnitz:117,forward
ibsachsen:885,zentrum_chemnitz:114,forward
ibsachsen:880,identitaereoesterreich:751,forward
ibsachsen:879,zentrum_chemnitz:113,forward
ibsachsen:877,identitaeredeutschland:2174,forward
ibsachsen:876,zentrum_chemnitz:101,forward
ibsachsen:873,identitaeredeutschland:2170,forward
ibsachsen:872,identitaeredeutschland:2169,forward
ibsachsen:871,zentrum_chemnitz:99,forward
ibsachsen:870,identitaeredeutschland:2166,forward
ibsachsen:869,identitaeredeutschland:2165,forward
ibsachsen:868,identitaeredeutschland:2133,forward
ibsachsen:867,zentrum_chemnitz:93,forward
ibsachsen:855,identitaeredeutschland:2119,forward
ibsachsen:845,zentrum_chemnitz:88,forward
ibsachsen:844,zentrum_chemnitz:87,forward
ibsachsen:834,zentrum_chemnitz:84,forward
ibsachsen:832,identitaeredeutschland:2095,forward
ibsachsen:831,identitaeredeutschland:2094,forward
ibsachsen:830,zentrum_chemnitz:79,forward
