id,label,subscribers
afdjugendbw,Generation Deutschland - BW Info-Kanal,753
castellaurora,Castell Aurora,1072
frohnmaier,Markus Frohnmaier MdB,1376
afdfraktionimbundestag,AfDFraktionimBundestag,4713
heimatkurier,📢 Heimatkurier,9959
jadeutschland,Junge Alternative Deutschland,3989
generationdeutschland,GenerationDe_By,1087
tomaszfroelich,Tomasz Froelich,471
dekurier,DeutschlandKURIER,15854
ein_prozent,Ein Prozent,13489
bjoernhoeckeafd,Björn Höcke,49500
info_direkt,Info-DIREKT - Das Magazin für Patrioten,12009
auf1tv,AUF1,288071
afd_thl,AfD-Fraktion Thüringen,4896
generation_thueringen,Generation Thüringen,492
wilhelmkachel,Wilhelm Kachel,4808
visionremigrationch,Vision Remigration,453
matthiashelferich,Matthias Helferich,2225
ibsachsen,SachsenGarde,1972
compactmagazin,COMPACT-Magazin,80495
krautzone,Krautzone,10182
hannesgnauck,Hannes Gnauck MdB,496
club451,Клуб 451,1914
reinweiblich,Reinhild Boßdorf ✌🏼🖊️,1035
lukreta,Lukreta ✌🏼,2976
jungeuropa,Jungeuropa,2739
derstatus,DerStatus.at,6516
zentrum_chemnitz,Zentrum Chemnitz,961
ignazbearth,Ignaz Bearth offiziell,35999
fabianjankafd,Fabian Jank - AfD,384
identitaereoesterreich,Identitäre Bewegung Österreich,3704
rtvooe,RTV Privatfernsehen,6968
komitet212,Комитет 212,448
report24news,Report24.news,51759
zeitschrift_sezession,Zeitschrift Sezession,3003
benediktkaiser,Benedikt Kaiser,2402
martinsellnerib,🔵 Martin Sellner [TELEGRAMELITE],76153
auroralorraine,Aurora - Lorraine,772
kvltgames,KVLTGAMES,1861
freilichmagazin,Freilich Magazin,3069
kulturfestung,🇦🇹 Kulturfestung - patriotischer Freiraum,462
compact,Compact Community Chat,1132
thymosmagazin,Thymos Magazin,553
rfjooe,Freiheitliche Jugend OÖ,231
jungealternativelsa,Generation Deutschland LSA,858
ja_sachsen,Junge Alternative Sachsen 🇩🇪,572
jungealternativenrw,Generation 🇩🇪 NRW,734
janwenzelschmidt,Jan Wenzel Schmidt MdB,633
guerillavideos,Guerilla Videos,376
junge_freiheit_official,JUNGE FREIHEIT,20281
rene_springer,René Springer,860
lionedler,Lion Edler,1325
jadresden,JA Dresden,235
klartextbaum,Klartext von Dr. Christina Baum MdB,4041
afdschleswigholstein,AfD Schleswig-Holstein,555
spanielmdb,"Dr. Dirk Spaniel, ex-MdB",1433
benjamin_d_nolte,🇩🇪 Benjamin D. Nolte - AfD 🇩🇪,688
krah_direkt,Krah Direkt,1714
juergenpohlafd,Jürgen Pohl — Der Volksanwalt,486
afdthueringen,AfD Thüringen,4474
gfroemming,"Götz Frömming MdB, AfD-Fraktion im Bundestag",465
stefanmagnet,Stefan Magnet,71284
moellerth,Stefan Möller,1119
thorstenweissafd,"Thorsten Weiß, MdA",457
nicht_normal,Neue Normalität,23340
aktion451,Aktion451,1286
franzschmidafd,Franz Schmid - MdL - AfD,459
jungealternativesh,Generation Deutschland - Schleswig-Holstein,249
jungealternativeschwaben,Jugendgruppe Schwaben,248
bruno_wolters,Bruno Wolters,689
irmhild_bossdorf,Irmhild Boßdorf MdEP,422
alexsellberlin,"Dr. Alexander Sell, MEP",288
unitedworldinternational,United World International,485
marykhanafd,Mary Khan (AfD),385
jouwatch,Jouwatch,9440
idearium_debattennetzwerk,Idearium - Debatten-Netzwerk,571
afdbrennpunkt,AfD Brennpunkt,17906
christineanderson,"Christine Anderson, MdEP (AfD)",39547
soldaten_und_reservisten,Soldaten & Reservisten,17234
waldgangalbdruck,Der Waldgang,14750
afdkanalde,AfD-Pressespiegel,408
dominikkaufner,Dr. Dominik Kaufner MdL,292
christopherdroesslerafd,Christopher Drößler,233
zurlage,Zur Lage 🔔 Rundbrief,1144
prototelegram,Proto NDS ❌,4169
freiesachsen,Freie Sachsen,118360
robertteske,Robert Teske,636
identitaeredeutschland,Identitäre Bewegung Deutschland,10198
hcberndt,Dr. Christoph Berndt,1078
wolfpmsoffiziell,WolfPMS,1385
einprozentvideos,EinProzent | Videoarchiv,702
hkickl,Herbert Kickl,34629
gerwinl,Gerwin Lovrecki Kanal,8222
martinsellnervideos,🎦 Martin Sellner - Videos & Audios,13744
kaernten_geht_in_die_offensive,KÄRNTEN geht in die Offensive 🤝,1083
danielhaseloffafd,Daniel Haseloff,518
wiebkemuhsal,Wiebke Muhsal,571
marcus_buehl,Marcus Bühl AfD MdB,323
afderfurt,AfD Erfurt,576
reconquista21,R21,1930
grimbart_studio,Grimbart Studio,1535
imbolcslicht,ImbolcsLicht,808
teamaust,TeamAust - reneaust.eu,1185
alex_malenki,Malenki,2162
tannwaldmedia,Tannwald Media,207
kiesdries,Dries Van Langenhove,11375
jungetat,JUNGE TAT,8843
aktivistmanuel,Manuel Corchia,531
vorstadtaktivist,Tobias - Junge Tat,600
selina_sunnetanz,Selina Sunnetanz,211
deutschlandkuriervideo,DK | Videos,946
hydracomicsdd,Hydra Comics,625
carstenjahn_teamheimat,Carsten Jahn - TEAM HEIMAT,70077
christian_zaum_afd,Christian Zaum MdB,248
dieganzegeschichte,Die ganze Geschichte,599
haintz,HAINTZ.media,78235
afd_duesseldorf,AfD Düsseldorf,202
marvintneumann,Marvin T. Neumann,654
afdsaxlt,AfD Fraktion Sachsen,1041
voxeuropaherald,Voxeuropa Herald,397
niusde,Nius,29437
martinctkohler,Martin Kohler - AfD 🇩🇪,204
aufdiestrasse,Aktion Ost,1794
dereckart,Der Eckart,248
