id,label,subscribers
generationidentitaire,Génération Identitaire,5011
thaisdescufon,🔵 Thaïs d’Escufon,16965
marionmarechal,Marion Maréchal,14690
letudiantlibre,L’ÉTUDIANT LIBRE,1719
gilbertcollard,Gilbert Collard,2630
nemesisparis,Collectif Némésis,4814
fdesoucheofficiel,Fdesouche,17016
polemia_fr,Polémia,997
generationidentitairelyon,Jour,382
rassemblementnational,Rassemblement National,6439
lacocardeetudiante,La Cocarde Étudiante,1760
lesidentitaires,Les Identitaires,581
gregoryroose,Grégory Roose,3944
generationidentity,Generation Identity,981
parisvoxinfo,Paris Vox,438
institutiliade,Institut ILIADE,4282
livrenoir,Frontières média,14297
danielconversano,🔥 Daniel Conversano ️,14101
damienrieu,🔴 Damien Rieu,23291
avecmarion,🇫🇷 Identité Libertés - IDL - Avec Marion,2446
issep_lyon,ISSEP,663
rybar_in_english,Rybar in English,55971
heritagefr,Héritage Français,951
les_prohibes,Les Prohibés 👊🇫🇷,644
milafique,Milafique - Le Canal Problématique,3193
emmanuelmacron,Emmanuel Macron,34963
aquatennens,Actualités d'Adrien Quatennens,3257
voxeuropaherald,Voxeuropa Herald,395
jean_eudesgannat,Jean-Eudes Gannat,3999
nouveaupresent,Nouveau Présent,390
librairielogos,Librairie Logos,1714
jylgallou,Jean-Yves Le Gallou,1047
assosla,ASLA,991
revue_elements,Revue éléments,1302
renaudcamustelegram,Renaud Camus,3147
observatoiredujournalisme,Observatoire du journalisme,1199
resum25,Remigration Summit,1688
lanouvellelibrairie,La Nouvelle Librairie,1993
radiomeridienzero,Radio Méridien Zéro,975
tvlibertes,TV Libertés,9432
aurelienverhassel,🟡 Aurélien Verhassel,868
nfaure,Nicolas Faure – Sunrise 🌅,2254
lignedroite,Ligne Droite,2447
faitsetdocuments,Faits & Documents,16667
pvardon,🔵 Philippe Vardon,1334
egononofficiel,Ego Non,1946
zentropa451,Zentropa,7420
reveuseeveilleee,Rêveuse éveillée,10173
golemsklub2,Golems Klub,11832
kimjongunique,KimJongUnique 👖,21006
pyr88,Pierre-Yves Rougeyron 88,355
bonnedroite,Une Bonne Droite (UBD),6640
generationidentitaer,Generation Identitær Danmark,1021
widerstandinbewegung,Widerstand in Bewegung,2746
identitasgeneracio,Identitás Generáció,351
rebellionosre,Rébellion SRE,467
dexterafrance,Dextera,320
justicepourlesnotres,Collectif Justice pour les Nôtres,262
parisfierte,Paris Fierté,297
clermont_nc,Clermont Non Conforme,1411
luminisparis,Luminis,2777
lesnatifsparis,Les Natifs,2091
alicecordier1,Alice Cordier,1426
breizhinfofficiel,Breizh info,2347
academiachristiana,Academia Christiana,4149
pmbonneau,🇫🇷 Pierre-Marie Bonneau,842
comitedu9mai,COMITÉ DU 9 MAI 🏴,5165
parisnatio,Paris Nationaliste,1418
bobardsdor,Les Bobards d'Or,375
auctorum,AUCTORUM,1656
helixdijon,Helix Dijon,633
arktosmedia,Arktos,6022
istitutoeneide,Istituto Eneide,236
institutocarlosv,Instituto Carlos V,490
