id,status,reason,total_mentions,source_group_count,source_groups
turmzeichen,not_found,"No user has ""turmzeichen"" as username",152,14,dortmundsrechte|gefangenenhilfe|harzverteidigen|heimatsachsenanhalt|hermannsland|jn_mup|jn_sachsen_anhalt|jn_th|jungenationalisten|miesenews|rockhate|rossmueller|stimme_der_wahrheit|sturmzeichen
mitedu9mai,not_found,"No user has ""mitedu9mai"" as username",78,3,athenscene|comitedu9mai|jungenationalisten
itedu9mai,not_found,"No user has ""itedu9mai"" as username",64,1,comitedu9mai
ortmundsrechte,not_found,"No user has ""ortmundsrechte"" as username",64,11,braunschweigverteidigen|clauscremernrw|dortmundsrechte|gefangenenhilfe|harzverteidigen|heimathessen|heimatsachsenanhalt|infodeutschoesterreich|jndortmund|jungenationalisten|miesenews
lauscremernrw,not_found,"No user has ""lauscremernrw"" as username",58,10,clauscremernrw|dortmundsrechte|heimat2023|heimatnrw|heimatsachsenanhalt|jn_aktioneuropa|jn_westverband|jungenationalisten|miesenews|rockhate
whitelads,flood_wait_exceeded,flood wait 74319s exceeds maxWait=3600s,56,4,activeclubuncensored|flakdieband|inczebelalegionarius|natsquads
omitedu9mai,not_found,"No user has ""omitedu9mai"" as username",46,1,comitedu9mai
mundsrechte,flood_wait_exceeded,flood wait 74550s exceeds maxWait=3600s,44,11,braunschweigverteidigen|clauscremernrw|dortmundsrechte|flakdieband|harzverteidigen|heimatnrw|jn_westverband|miesenews|pcrecords|rockhate|sturmzeichen
legiohungaria,flood_wait_exceeded,flood wait 73690s exceeds maxWait=3600s,42,6,activeclubuncensored|clauscremernrw|hermanns_heide|inczebelalegionarius|lukovmarch|natsquads
dn2013,invalid_username,username invalid,40,10,blklgnwear|braunschweigverteidigen|dortmundsrechte|eichsfeldrevolte|harzverteidigen|kdn2013|miesenews|rockhate|theresia_brand|wwbrex
ungenationalisten,not_found,"No user has ""ungenationalisten"" as username",36,10,clauscremernrw|heimatnrw|hermanns_heide|jn_aktioneuropa|jn_mup|jn_sachsen_anhalt|jn_th|jn_westverband|jnhessen|jungenationalisten
ichaelbrueck90,flood_wait_exceeded,flood wait 73868s exceeds maxWait=3600s,34,10,dortmundsrechte|finleydresden|flakdieband|hartungstefan|heimat2023|heimatsachsen|kavalier_nds|leisnig|michaelbrueck90|peterschreiber
arcus_fuchs,not_found,"No user has ""arcus_fuchs"" as username",30,4,dresden_spaziert|mr_marcus_fuchs|qd351|schreiberklagtan
afd_thl,flood_wait_exceeded,flood wait 73974s exceeds maxWait=3600s,28,4,benediktkaiser|flakdieband|freiesth|irmhild_bossdorf
frontmusik,flood_wait_exceeded,flood wait 74566s exceeds maxWait=3600s,26,5,flakdieband|frontmagazin|miesenews|rockhate|theresia_brand
genationalisten,not_found,"No user has ""genationalisten"" as username",24,10,clauscremernrw|dortmundsrechte|heimatnrw|hermanns_heide|jn_sachsen_anhalt|jn_th|jn_westverband|jndortmund|jnhessen|jungenationalisten
lukreta,flood_wait_exceeded,flood wait 74460s exceeds maxWait=3600s,24,3,dresden_spaziert|flakdieband|irmhild_bossdorf
middle_east_spectator,flood_wait_exceeded,flood wait 74354s exceeds maxWait=3600s,22,4,flakdieband|multipolarpress|realblaircottrell|rediceuncensored
nzona3,flood_wait_exceeded,flood wait 73759s exceeds maxWait=3600s,22,3,inczebelalegionarius|lukovmarch|natsquads
oposrecords,flood_wait_exceeded,flood wait 74157s exceeds maxWait=3600s,22,7,flakdieband|frontmagazin|gefangenenhilfe|homefrontsince2021|miesenews|rockhate|schmidtkeswelt
frankrennicke,flood_wait_exceeded,flood wait 73955s exceeds maxWait=3600s,20,3,flakdieband|niederlausitzinfo|stimme_der_wahrheit
blutzeugen1894,flood_wait_exceeded,flood wait 74083s exceeds maxWait=3600s,18,4,flakdieband|homefrontsince2021|miesenews|wwbrex
n_aktioneuropa,not_found,"No user has ""n_aktioneuropa"" as username",18,7,clauscremernrw|heimatnrw|jn_aktioneuropa|jn_sachsen_anhalt|jn_westverband|jnhessen|jungenationalisten
dieheimat,flood_wait_exceeded,flood wait 74137s exceeds maxWait=3600s,16,8,braunschweigverteidigen|deutscheswarenhaus|flakdieband|harzverteidigen|heimatsachsenanhalt|jn_sachsen_anhalt|kdn2013|widerstandinaktion
imatnrw,not_found,"No user has ""imatnrw"" as username",16,6,clauscremernrw|dortmundsrechte|flakdieband|heimat2023|heimatnrw|jungenationalisten
hydracomicsdd,flood_wait_exceeded,flood wait 74175s exceeds maxWait=3600s,14,5,aufgewachtonline|deutschestimmemagazin|flakdieband|jungeuropa|schmidtkeswelt
ibsachsen,flood_wait_exceeded,flood wait 74047s exceeds maxWait=3600s,12,2,flakdieband|wolfpmsoffiziell
matnrw,not_found,"No user has ""matnrw"" as username",12,5,heimat2023|heimatnrw|heimatsachsenanhalt|jn_westverband|jungenationalisten
mladezhi,flood_wait_exceeded,flood wait 74582s exceeds maxWait=3600s,12,5,bnsiyi|decommunizationbg|legionbulgaria|lukovmarch|natsquads
ndsrechte,not_found,"No user has ""ndsrechte"" as username",12,4,clauscremernrw|dortmundsrechte|jn_westverband|jungenationalisten
eimat2023,flood_wait_exceeded,flood wait 74245s exceeds maxWait=3600s,10,1,flakdieband
nationalisten,not_found,"No user has ""nationalisten"" as username",10,5,clauscremernrw|dortmundsrechte|heimatnrw|jn_westverband|jungenationalisten
chaelbrueck90,flood_wait_exceeded,flood wait 74422s exceeds maxWait=3600s,8,3,flakdieband|michaelbrueck90|schmidtkeswelt
imbolcslicht,flood_wait_exceeded,flood wait 73777s exceeds maxWait=3600s,8,1,flakdieband
infrarotmediensicht,flood_wait_exceeded,flood wait 74369s exceeds maxWait=3600s,8,2,flakdieband|oberelbe
intelslava,flood_wait_exceeded,flood wait 74407s exceeds maxWait=3600s,8,3,flakdieband|realblaircottrell|rediceuncensored
rebelrecordscb,flood_wait_exceeded,flood wait 74261s exceeds maxWait=3600s,8,3,flakdieband|miesenews|rockhate
snicklink3000,flood_wait_exceeded,flood wait 74065s exceeds maxWait=3600s,8,3,flakdieband|freiesachsen_dresden|penigstehtauf
swkanal,flood_wait_exceeded,flood wait 74439s exceeds maxWait=3600s,8,3,flakdieband|homefrontsince2021|miesenews
tmundsrechte,not_found,"No user has ""tmundsrechte"" as username",8,4,dortmundsrechte|heimatnrw|jnhessen|jungenationalisten
v_isionaer,flood_wait_exceeded,flood wait 73936s exceeds maxWait=3600s,6,3,flakdieband|heimatsachsen|widerstandinaktion
avanguardia_torino,flood_wait_exceeded,flood wait 73709s exceeds maxWait=3600s,4,2,lukovmarch|youthfront
dieframinggmbh,flood_wait_exceeded,flood wait 73852s exceeds maxWait=3600s,4,2,flakdieband|waldheimspaziertgegendieampel
freiesschsen,not_found,"No user has ""freiesschsen"" as username",4,2,oberelbe|schreiberklagtan
fs_leisnig,not_found,"No user has ""fs_leisnig"" as username",4,2,freie_mittelsachsen|freiesachsen_leisnig
fsleisnig,not_found,"No user has ""fsleisnig"" as username",4,2,freie_mittelsachsen|freiesachsen_leisnig
genationalsiten,not_found,"No user has ""genationalsiten"" as username",4,2,jn_westverband|jungenationalisten
hueterderirminsul,flood_wait_exceeded,flood wait 74476s exceeds maxWait=3600s,4,2,flakdieband|miesenews
kanal_resolut,flood_wait_exceeded,flood wait 74517s exceeds maxWait=3600s,4,2,flakdieband|theresia_brand
lansquenetscontact_bot,flood_wait_exceeded,flood wait 73654s exceeds maxWait=3600s,4,1,lukovmarch
les_lansquenets,flood_wait_exceeded,flood wait 73669s exceeds maxWait=3600s,4,1,lukovmarch
n_reporter,flood_wait_exceeded,flood wait 74602s exceeds maxWait=3600s,4,2,bnsiyi|decommunizationbg
aetzendmitbiss,flood_wait_exceeded,flood wait 73816s exceeds maxWait=3600s,2,1,flakdieband
amuncensored2,flood_wait_exceeded,flood wait 74209s exceeds maxWait=3600s,2,1,flakdieband
appel_jn,not_found,"No user has ""appel_jn"" as username",2,1,appell_jn
atnrw,flood_wait_exceeded,flood wait 74010s exceeds maxWait=3600s,2,1,flakdieband
c9m_admin,not_found,"No user has ""c9m_admin"" as username",2,1,comitedu9mai
carstenjahn_teamheimat,flood_wait_exceeded,flood wait 74298s exceeds maxWait=3600s,2,1,flakdieband
comite_du_9_mai,not_found,"No user has ""comite_du_9_mai"" as username",2,1,comitedu9mai
dailyjwaller,flood_wait_exceeded,flood wait 74279s exceeds maxWait=3600s,2,1,flakdieband
dieband,flood_wait_exceeded,flood wait 74229s exceeds maxWait=3600s,2,1,flakdieband
e_mittelsachsen,not_found,"No user has ""e_mittelsachsen"" as username",2,1,freie_mittelsachsen
eahrens,flood_wait_exceeded,flood wait 73796s exceeds maxWait=3600s,2,1,flakdieband
eie_mittelsachsen,not_found,"No user has ""eie_mittelsachsen"" as username",2,1,freie_mittelsachsen
enationalisten,flood_wait_exceeded,flood wait 74101s exceeds maxWait=3600s,2,1,flakdieband
erblehre,flood_wait_exceeded,flood wait 73991s exceeds maxWait=3600s,2,1,flakdieband
espraeche,not_found,"No user has ""espraeche"" as username",2,1,schreiberklagtan
fortresskyiv,flood_wait_exceeded,flood wait 74497s exceeds maxWait=3600s,2,1,flakdieband
gespraeche,flood_wait_exceeded,flood wait 74027s exceeds maxWait=3600s,2,1,flakdieband
heimatgespraeche,flood_wait_exceeded,flood wait 74121s exceeds maxWait=3600s,2,1,flakdieband
heimatkurier,flood_wait_exceeded,flood wait 73902s exceeds maxWait=3600s,2,1,flakdieband
honoretpatria,flood_wait_exceeded,flood wait 73725s exceeds maxWait=3600s,2,1,lukovmarch
iddle_east_spectator,flood_wait_exceeded,flood wait 74334s exceeds maxWait=3600s,2,1,flakdieband
irfreischaltbot,flood_wait_exceeded,flood wait 73884s exceeds maxWait=3600s,2,1,flakdieband
ittelsachsen,not_found,"No user has ""ittelsachsen"" as username",2,1,freiesachsen_leisnig
jeunenationcom,flood_wait_exceeded,flood wait 73741s exceeds maxWait=3600s,2,1,lukovmarch
lblandrevolte,not_found,"No user has ""lblandrevolte"" as username",2,1,elblandrevolte
nickjfuentes,flood_wait_exceeded,flood wait 74535s exceeds maxWait=3600s,2,1,flakdieband
punikoff,flood_wait_exceeded,flood wait 74388s exceeds maxWait=3600s,2,1,flakdieband
reie_mittelsachsen,not_found,"No user has ""reie_mittelsachsen"" as username",2,1,freie_mittelsachsen
resum25,flood_wait_exceeded,flood wait 73920s exceeds maxWait=3600s,2,1,flakdieband
stcasual3e,not_found,"No user has ""stcasual3e"" as username",2,1,comitedu9mai
teamasgardgermania,flood_wait_exceeded,flood wait 73832s exceeds maxWait=3600s,2,1,flakdieband
tedu9mai,not_found,"No user has ""tedu9mai"" as username",2,1,comitedu9mai
whitensw,flood_wait_exceeded,flood wait 74193s exceeds maxWait=3600s,2,1,flakdieband
pcrecords2,not_found,"No user has ""pcrecords2"" as username",0,0,
schmierfink_streetart,not_found,"No user has ""schmierfink_streetart"" as username",0,0,
