id,label,subscribers
activeclubuncensored,AC x OFFICIAL,5298
agjugend,Nationalrevolutionäre Jugend - NRJ (Der III. Weg),4360
apollonews_de,Apollo News,16252
athenscene,Athens Autonomous 🇬🇷🏴,3165
auf1tv,AUF1,288121
aufgewachtonline,AUFGEWACHT - DIE DEUTSCHE STIMME,6188
ausvstheagenda,Australians vs. The Agenda,8037
balaclavagraphics,Balaclava Graphics Bautzen,10366
benediktkaiser,Benedikt Kaiser,2404
blickpunkttv,BlickpunktTV,1285
blklgnwear,Black Legion Wear,1659
braunschweigverteidigen,braunschweig.verteidigen,267
clauscremernrw,Claus Cremer NRW,514
dekurier,DeutschlandKURIER,15853
derappell,Der Appell!,1263
derdritteblickwinkel,🎙 Der dritte Blickwinkel 🔊,6214
derdrittewegvogtland,"""Der III. Weg""- Vogtland (Der Dritte Weg)",1198
deutschedd,Deutsche Dichter und Denker,14287
deutschestimmemagazin,Deutsche Stimme - Die andere Meinung,4243
deutscheswarenhaus,Deutsches Warenhaus,1777
dieheimatmv,Die Heimat - Mecklenburg-Vorpommern,166
diskussion,Diskussion,326
dortmundsrechte,Heimat Dortmund,4267
dresden_gedenken,**DRESDEN-GEDENKEN 2025** #DRESDEN25,3954
dresden_spaziert,Dresden spaziert,3773
eb_official,European Brotherhood,2513
ein_prozent,Ein Prozent,13489
frankkraemer,🎙 Frank Kraemer,1785
freiesachsen,Freie Sachsen,118417
freiesachsenmeissen,FREIE SACHSEN - LK Meißen,1772
freiesth,Freies Thüringen,17079
freilichmagazin,Freilich Magazin,3067
frontdienst,Frontdienst,3009
frontmagazin,Frontmagazin,2908
fsnrev,FSN - The Revolution,7888
gefangenenhilfe,GefangenenHilfe Freundeskreis,2035
gegenstrom,Gegenstrom Plattform für rechte Metapolitik,756
harzverteidigen,Harz Verteidigen,1119
heimat2023,Die Heimat,6874
heimat_th,Die Heimat Thüringen,159
heimathessen,Heimat Hessen,357
heimatnrw,Heimat.NRW,483
heimatsachsen,HEIMAT Sachsen,311
heimatsachsenanhalt,Heimat- Sachsen- Anhalt!,177
hermanns_heide,Hermanns.heide,332
hermannsland,HermannslandVersand / Lunikoff,5762
herrenzimmer,Yves Herrenzimmer,1417
homefrontsince2021,Homefront since 2021 - European Identity Brand,1820
ijzerwake,IJzertreffen,353
inczebelalegionarius,⚔️ Incze Béla,979
infodeutschoesterreich,Infokanal Deutschösterreich,2408
irmhild_bossdorf,Irmhild Boßdorf MdEP,421
jn_mup,Junge Nationalisten MuP,165
jn_sachsen_anhalt,JN Sachsen-Anhalt,468
jn_th,Junge Nationalisten Thüringen,1202
jn_westverband,JN-West,634
jndortmund,Heimatjugend Dortmund (JN),497
jnhessen,JN Hessen,241
joergdornau,"Jörg Dornau, MdL",246
jokartsarea,JokART's Area,178
jungenationalisten,Junge Nationalisten,13846
jungetat,JUNGE TAT,8799
jungeuropa,Jungeuropa,2739
kdn2013,Kampf der Nibelungen,7473
kgxpr,KG x PR Media,201
king_of_the_streets,KING OF THE STREETS,25599
klanfc,Klan FC,2681
lebensart_survival,"LebensART - Outdoor, Survival, Krisenvorsorge",2416
martinsellnerib,🔵 Martin Sellner [TELEGRAMELITE],76194
mayrhofer_raphael,Raphael Mayrhofer,279
michaelbrueck90,Michael Brück,3784
miesenews,Miesling News,4704
mjoellnir_soehnegermaniens,MJÖLLNIR-Söhne Germaniens,149
niederlausitzinfo,Niederlausitz.Info,260
niusde,Nius,29408
nordglanz_1488,NORDGLANZ,758
nsfronta,Nacionalisté,1293
pcrecords,PC Records offiziell,9309
pcrecords2,PC Records offiziell Backup,1045
peterschreiber,Peter Schreiber,621
realblaircottrell,Blair Cottrell 🇦🇺,19914
rockhate,ROCK HATE,5728
rossmueller,Sascha A. Roßmüller,1219
schmidtkeswelt,Schmidtkes Welt,2364
schmierfink_streetart,schɪɪɪierfink.,976
schwarzekreuze,Aktion Schwarze Kreuze,659
seitenwechsel,Seitenwechsel - Die BücherMesse,270
sicherheitshinweise,SfN - Arbeitskreis Sicherheit,6716
stefantrautmanndl,Stefan Trautmann,1033
stimme_der_wahrheit,STIMME DER WAHRHEIT,2549
sturmzeichen,Kanal Sturmzeichen,6954
tanzfilmvorhaben,Tanzfilm,557
theresia_brand,Theresia Brand,446
tommyfrenck,Tommy Frenck Kanal,15027
unetenucleonacional,Núcleo Nacional🏴,29015
unvergessenehelden,Unvergessene Helden,18405
weichreitekanal,Weichreite Kanal,11480
widerstandinaktion,📢 Widerstand im Hügelland 🇩🇪,2064
wie_gesagt,Wie-gesagt.info,1730
wilhelmkachel,Wilhelm Kachel,4810
wolfpmsoffiziell,WolfPMS,1387
wwbrex,Wewelsburg-Records,528
zukunfthbs,Für die Zukunft unserer Kinder (Halberstadt),194
