id,label,subscribers
jungenationalisten,Junge Nationalisten,13827
heimat2023,Die Heimat,6860
schmidtkeswelt,Schmidtkes Welt,2355
dortmundsrechte,Heimat Dortmund,4263
JN_Sachsen_Anhalt,JN Sachsen-Anhalt,468
JN_voran,Junge Nationalisten,0
HeimatSachsenAnhalt,Heimat- Sachsen- Anhalt!,177
JungeNationalisten,Junge Nationalisten,13827
KDN2013,Kampf der Nibelungen,7482
Frontdienst,Frontdienst,3009
pcrecords,PC Records offiziell,9304
EB_official,European Brotherhood,2506
Balaclavagraphics,Balaclava Graphics Bautzen,10371
theresia_brand,Theresia Brand,437
fsnrev,FSN - The Revolution,7893
niederlausitzInfo,Niederlausitz.Info,260
braunschweigverteidigen,braunschweig.verteidigen,263
JN_MuP,Junge Nationalisten MuP,161
WiderstandinAktion,📢 Widerstand im Hügelland 🇩🇪,2061
sturmzeichen,Kanal Sturmzeichen,6949
dieheimatmv,Die Heimat - Mecklenburg-Vorpommern,166
JN_Th,Junge Nationalisten Thüringen,1198
jnhessen,JN Hessen,241
harzverteidigen,Harz Verteidigen,1115
DieHeimat,-,2
heimatsachsenanhalt,Heimat- Sachsen- Anhalt!,177
hermanns_heide,Hermanns.heide,329
freiesachsen,Freie Sachsen,118508
unetenucleonacional,Núcleo Nacional🏴,29022
aufgewachtonline,AUFGEWACHT - DIE DEUTSCHE STIMME,6187
peterschreiber,Peter Schreiber,623
heimathessen,Heimat Hessen,355
deutschestimmemagazin,Deutsche Stimme - Die andere Meinung,4245
at2023,at,0
rossmueller,Sascha A. Roßmüller,1219
heimat_th,Die Heimat Thüringen,161
JN_th,Junge Nationalisten Thüringen,1198
benediktkaiser,Benedikt Kaiser,2407
ein_prozent,Ein Prozent,13499
freilichmagazin,Freilich Magazin,3064
Seitenwechsel,Seitenwechsel - Die BücherMesse,268
jungeuropa,Jungeuropa,2739
JN_Westverband,JN-West,636
michaelbrueck90,Michael Brück,3788
apollonews_de,Apollo News,16236
niusde,Nius,29301
wie_gesagt,Wie-gesagt.info,1732
miesenews,Miesling News,4705
WeichreiteKanal,Weichreite Kanal,11470
heimatnrw,Heimat.NRW,484
jungenationalisten ,Junge Nationalisten,13827
DeutscheDD,Deutsche Dichter und Denker,14291
Stimme_der_Wahrheit,STIMME DER WAHRHEIT,2546
ausvstheagenda,Australians vs. The Agenda,8003
gefangenenhilfe,GefangenenHilfe Freundeskreis,2036
N2013,Mojdeh,0
boost,Update to Boost,382611
schmierfink_streetart,schɪɪɪierfink.,976
king_of_the_streets,KING OF THE STREETS,25611
InczeBelaLegionarius,⚔️ Incze Béla,980
mjoellnir_soehnegermaniens,MJÖLLNIR-Söhne Germaniens,149
frontmagazin,Frontmagazin,2905
rockhate,ROCK HATE,5730
wwbrex,Wewelsburg-Records,526
jokArtsArea,JokART's Area,178
sicherheitshinweise,SfN - Arbeitskreis Sicherheit,6701
