id,chat,message_id,date,url,views,reaction_count,reaction_breakdown,text,sender_id,label,topics,primaryTopic,topics_ollama_raw,locations_ranked,tagging_error
nsc131official:528,nsc131official,528,2025-03-29T04:58:54+00:00,https://t.me/nsc131official/528,4307,0,{},"We are in this together!

We are asking for your continued support to help our legal team establish positive legal precedent for Nationalists everywhere who may someday be prosecuted with the Civil Rights Act. 

We still have 2 more cases to go. 

Thank you!

https://www.givesendgo.com/LegalDefenseFund

@NSC131VIDEOS
@LegalDefenseFund",-1001896687370,,"['Censorship Claims', 'Street Mobilization', 'Migration', 'Institutions']",Censorship Claims,"['Censorship Claims', 'Street Mobilization', 'Migration', 'Institutions']",[],
nsc131official:527,nsc131official,527,2025-03-21T21:05:02+00:00,https://t.me/nsc131official/527,4512,0,{},"NH Civil Rights case from 2022 stemming from the infamous, “Keep New England White” banner drop has been dismissed again by the NH Supreme Court. That’s 1/3 cases down. 

Thank you all for your continued support. 

Help us keep up the fight against Anti-White Lawfare:

https://www.givesendgo.com/LegalDefenseFund

(Article)
https://www.nhpr.org/nh-news/2025-01-10/nh-supreme-court-sides-with-white-supremacist-group-over-highway-banner-in-portsmouth",-1001896687370,,"['Censorship Claims', 'Demographics', 'Media Criticism', 'Migration']",Censorship Claims,"['Censorship Claims', 'Demographics', 'Media Criticism', 'Migration']",[],
nsc131official:525,nsc131official,525,2024-08-28T12:12:48+00:00,https://t.me/nsc131official/525,13028,0,{},"Full summary of actions taken by our Legal Team to defend NSC from Civil and Criminal lawfare in Massachusetts and New Hampshire.

@LegalDefenseFund",-1001896687370,,"['Censorship Claims', 'Institutions', 'Street Mobilization', 'Conflict']",Censorship Claims,"['Censorship Claims', 'Institutions', 'Street Mobilization', 'Conflict']",[],
nsc131official:524,nsc131official,524,2024-08-16T00:15:25+00:00,https://t.me/nsc131official/524,13528,0,{},"📣 UPDATE 📣

Our Legal Team has been working hard on the 3 Civil Rights cases against New England Nationalists with the Nationalist Social Club. 

These charges stem from First Amendment Protected activism in Massachusetts and New Hampshire where Nationalists protested outside of Drag Queen Story Hours, Migrant Invader Hotels, Antifa Events, Political Buildings, and MA Governor Maura Healey’s Home. All of the events that NSC 131 is being sued for can be found at: @NSC131videos 

The goal of these charges is to bankrupt Nationalist organizations in New England and to intimidate Nationalists everywhere out of participation with the chilling effects of lawfare, harassment, and threats. 

We send our most heartfelt thanks to everyone who has contributed to our Legal Defense thus far. We have received an unimaginable amount of support, yet unfortunately we must continue to fuel the Legal Team with more funding to continue to resist the Legal Terrorism waged against good men.  

Please consider donating to our Legal Defense: 

https://www.givesendgo.com/LegalDefenseFund

Monero/XMR Address:
48ysWB3wQcZ2cJriwNj1px7YRDesFtDwrPdMhPC8arPJ629pb5dmoszUuaYrRgXV6ADTwzX9qjaDi81Sq7shVz7qM8E3y3n

Bitcoin Address:
bc1q27rwkdmpftujgsnqw8ey202p47w6sv2g0dghhg

Etherium Address:
0xc3ba37934d8b7325d5f6a0c0c3ab85e23525519a

Thank you all for your continued support! 

@NSC131official
@LegalDefenseFund",-1001896687370,,"['Street Mobilization', 'Censorship Claims', 'Media Criticism', 'Migration']",Street Mobilization,"['Street Mobilization', 'Censorship Claims', 'Media Criticism', 'Migration']",[],
nsc131official:522,nsc131official,522,2024-07-17T14:43:34+00:00,https://t.me/nsc131official/522,10974,0,{},"🚨 UPDATE 🚨

NH Civil Rights case from 2022 (Keep New England White Banner Drop): 

This matter has been consistently dismissed in favor of NSC. NH AG John Formella has escalated the case to the NH Supreme Court, and last week our Legal Team, along with the ACLU, provided opposing arguments to Formella’s pleas to the Supreme Court to revamp the case against NSC in these matters. It is the opinion of our Legal Team that the NH Supreme Court will rule in our favor but the AG is expected to continue to drag out these charges for as long as he can to continue to waste organizational funds gathered through donations and member contributions. 

New Civil Rights case from 2023 (Concord DQSH Protest): 

Our Legal Team has filed a strong Motion to Dismiss in this matter and we are awaiting judgement. Our Legal Team expects it will be favorable to us. Still, we expect the AG to appeal that case to the NH Supreme Court in that event in a similar fashion to the 2022 NH Civil Rights case. 

MA Civil Rights case (Migrant Hotel Protests, DQSH Protests, basically everything NSC has ever done in MA):

There has been no movement on this case as of yet. This is easily the most fraudulent case of the 3 and it is wildly over-broad and selective in its enforcement of widely ignored statutes. Our Legal Team is crafting a strong Motion to Dismiss in this matter as well, and we also expect the rulings in that case to be favorable to NSC. We also expect a similar escalation to the MA Supreme Court from AG Andrea Campbell in that event. 

We thank you all for your support.

https://www.givesendgo.com/LegalDefenseFund

@NSC131official
@LegalDefenseFund",-1001896687370,,"['Censorship Claims', 'Media Criticism', 'Institutions', 'Migration']",Censorship Claims,"['Censorship Claims', 'Media Criticism', 'Institutions', 'Migration']",[],
nsc131official:521,nsc131official,521,2024-05-25T06:04:06+00:00,https://t.me/nsc131official/521,11728,0,{},"Statement from Legal Team regarding recent reports of Christopher Hood defaulting in new NH Civil Rights case stemming from NSC 131 Concord DQSH Protest (https://t.me/NSC131official/282):

“The service the NH Attorney General has provided is questionable at best. We are going to defend against the due process violations relating to the service of process issue(s). 

We are going to further defend against the NH AG's attack on free speech with a forthcoming motion to dismiss”

TLDR: Disregard, the courts are doing everything in their power to press buttons over technicalities. This will only make them look even worse when we win. 

https://patch.com/new-hampshire/concord-nh/new-hampshire-nazis-no-show-drag-queen-lawsuit

@LegalDefenseFund",-1001896687370,,"['Censorship Claims', 'Media Criticism', 'Street Mobilization', 'Institutions']",Censorship Claims,"['Censorship Claims', 'Media Criticism', 'Street Mobilization', 'Institutions']",[],
nsc131official:514,nsc131official,514,2024-05-10T20:02:16+00:00,https://t.me/nsc131official/514,9055,0,{},"We would like to thank everyone for their support and getting us to over $15,000 in contributions to the Legal Defense Fund!

In the months since the 2 new Civil Rights cases were brought against NSC 131, the State of Massachusetts represented by Attorney General Andrea Campbell, and the State of New Hampshire represented by John Formella, have shown no real interest in setting a court date or hearing regarding these charges anytime soon. 

It is exceedingly clear that these efforts are nothing other than a petty attempt at a bankrupting campaign. What they are doing is illegal, and they will be called to answer for it. 

In these 2 most recent cases, we are being prosecuted for First Amendment protected speech outside of Drag Queen Story Hours, Migrant Hotels, and Antifa events. 

The old New Hampshire Civil Rights case, also brought on by John Formella, stemmed from a Keep New England White banner drop in Portsmouth 2 summers ago where we are accused of, “trespassing on public property”. Our motion to dismiss was approved by Judge David Ruoff of Rockingham County, and the Supreme Court has rejected multiple appeals by  AG John Formella on this case. 

The ACLU, whom we have no affection for, has even come out in opposition to John Formella’s actions calling them an overt threat to Free Speech for everyone. 

We have retained a team of highly competent attorney’s that are doing absolutely everything they can to defend us from these attacks, and we are grateful for their efforts. 

Please consider donating to our Legal Defense Fund to support the legal team: 

https://www.givesendgo.com/LegalDefenseFund

Monero/XMR Address:
48ysWB3wQcZ2cJriwNj1px7YRDesFtDwrPdMhPC8arPJ629pb5dmoszUuaYrRgXV6ADTwzX9qjaDi81Sq7shVz7qM8E3y3n

Bitcoin Address:
bc1q27rwkdmpftujgsnqw8ey202p47w6sv2g0dghhg

Etherium Address:
0xc3ba37934d8b7325d5f6a0c0c3ab85e23525519a

@NSC131official
@LegalDefenseFund",-1001896687370,,"['Street Mobilization', 'Institutions', 'Censorship Claims']",Street Mobilization,"['Street Mobilization', 'Institutions', 'Censorship Claims']",[],
nsc131official:512,nsc131official,512,2024-05-10T17:10:02+00:00,https://t.me/nsc131official/512,7222,0,{},"‼️

https://www.seacoastonline.com/story/news/local/2024/05/09/aclu-supports-neo-nazis-racist-banner-portsmouth-free-speech/73632529007/

Consider donating to our Legal Defense Fund to help fight the 3 Civil Rights cases against NSC 131: 

https://www.givesendgo.com/LegalDefenseFund

@NSC131official
@LegalDefenseFund",-1001896687370,,"['Censorship Claims', 'Street Mobilization', 'Ideology', 'Institutions']",Censorship Claims,"['Censorship Claims', 'Street Mobilization', 'Ideology', 'Institutions']",[],
nsc131official:511,nsc131official,511,2024-05-03T15:07:57+00:00,https://t.me/nsc131official/511,8841,0,{},"📰

https://nypost.com/2024/05/02/us-news/neo-nazis-salute-heil-in-ritzy-downtown-greenwich-conn-in-sickening-display/amp/

@NSC131official",-1001896687370,,"['Censorship Claims', 'Media Criticism', 'Symbols']",Censorship Claims,"['Censorship Claims', 'Media Criticism', 'Symbols']",[],
nsc131official:505,nsc131official,505,2024-04-28T12:56:13+00:00,https://t.me/nsc131official/505,22137,0,{},"NSC 131 lads in Greenwich, Connecticut in response to an Anti-White gang assault on an adolescent White woman that occurred there. 

We would remind the legislators of Connecticut and District Attorney Paul J. Ferencek that the best remedy for NSC 131 is proper punishment for minorities that ruthlessly attack our people. 

Hate crime charges or we’ll be back.

@NSC131official",-1001896687370,,"['Censorship Claims', 'Street Mobilization', 'Media Criticism', 'Migration']",Censorship Claims,"['Censorship Claims', 'Street Mobilization', 'Media Criticism', 'Migration']",[],
