from,to,count,kind,type,status,reason
patriotfrontupdates,patriotfrontnews,299,live,link,,
patriotfrontsightings,patriotfrontnews,62,live,link,,
patriotfrontsightings,patriotfrontupdates,7,live,link,,
patriotfrontnews,patriotfrontsightings,6,live,link,,
patriotfrontupdates,patriotfrontsightings,6,live,link,,
patriotfrontnews,patriotfrontupdates,2,live,link,,
patriotfrontnews,activeclubfrance,1,live,link,,
patriotfrontnews,activeclubhelvetia,1,live,link,,
patriotfrontnews,activeclubromandia,1,live,link,,
patriotfrontnews,activedietsland,1,live,link,,
patriotfrontnews,derdritteweg,1,live,link,,
patriotfrontnews,nsvnationaal,1,live,link,,
patriotfrontnews,unetenucleonacional,1,live,link,,
patriotfrontsightings,amrenofficial,1,live,link,,
patriotfrontsightings,ca_legion_xiv,1,live,link,,
patriotfrontsightings,nationalist_network,1,live,link,,
patriotfrontsightings,nickjfuentes,1,live,link,,
patriotfrontsightings,norcal_ac,1,live,link,,
patriotfrontupdates,activeclubfrance,1,live,link,,
patriotfrontupdates,activeclubhelvetia,1,live,link,,
patriotfrontupdates,activeclubromandia,1,live,link,,
patriotfrontupdates,activedietsland,1,live,link,,
patriotfrontupdates,derdritteweg,1,live,link,,
patriotfrontupdates,nsvnationaal,1,live,link,,
patriotfrontupdates,unetenucleonacional,1,live,link,,
