from,to,type
patriotfrontupdates:25396,patriotfrontnews:3718,link
patriotfrontupdates:25396,patriotfrontnews:3749,link
patriotfrontupdates:25396,patriotfrontnews:3794,forward
patriotfrontupdates:25392,patriotfrontnews:3790,forward
patriotfrontupdates:25388,patriotfrontnews:3786,forward
patriotfrontupdates:25387,patriotfrontnews:3785,forward
patriotfrontupdates:25386,patriotfrontnews:3784,forward
patriotfrontupdates:25382,patriotfrontnews:3780,forward
patriotfrontupdates:25377,patriotfrontnews:3775,forward
patriotfrontupdates:25372,patriotfrontnews:3770,forward
patriotfrontupdates:25367,patriotfrontnews:3765,forward
patriotfrontupdates:25364,patriotfrontnews:3762,forward
patriotfrontupdates:25362,patriotfrontnews:3760,forward
patriotfrontupdates:25352,patriotfrontnews:3750,forward
patriotfrontupdates:25351,patriotfrontnews:3749,forward
patriotfrontupdates:25342,patriotfrontnews:3740,forward
patriotfrontupdates:25340,patriotfrontnews:3738,forward
patriotfrontupdates:25336,patriotfrontnews:3734,forward
patriotfrontupdates:25326,patriotfrontsightings:1480,link
patriotfrontupdates:25326,patriotfrontnews:3724,forward
patriotfrontupdates:25321,patriotfrontnews:3719,forward
patriotfrontupdates:25320,patriotfrontnews:3709,link
patriotfrontupdates:25320,patriotfrontnews:3718,forward
patriotfrontupdates:25311,patriotfrontnews:3709,forward
patriotfrontupdates:25301,patriotfrontnews:3699,forward
patriotfrontupdates:25299,patriotfrontsightings:1480,forward
patriotfrontupdates:25298,patriotfrontsightings:1478,forward
patriotfrontupdates:25297,patriotfrontnews:3695,forward
patriotfrontupdates:25292,patriotfrontnews:3690,forward
patriotfrontupdates:25285,patriotfrontnews:3683,forward
patriotfrontupdates:25278,patriotfrontnews:3670,forward
patriotfrontupdates:25274,patriotfrontnews:3666,forward
patriotfrontupdates:25270,patriotfrontnews:3662,forward
patriotfrontupdates:25266,patriotfrontnews:3658,forward
patriotfrontupdates:25263,patriotfrontnews:3655,forward
patriotfrontupdates:25258,patriotfrontnews:3650,forward
patriotfrontupdates:25250,patriotfrontnews:3642,forward
patriotfrontupdates:25246,patriotfrontnews:3638,forward
patriotfrontupdates:25242,patriotfrontnews:3634,forward
patriotfrontupdates:25234,patriotfrontnews:3626,forward
patriotfrontupdates:25229,patriotfrontnews:3621,forward
patriotfrontupdates:25224,patriotfrontnews:3616,forward
patriotfrontupdates:25218,patriotfrontnews:3610,forward
patriotfrontupdates:25210,patriotfrontnews:3602,forward
patriotfrontupdates:25206,patriotfrontnews:3598,forward
patriotfrontupdates:25202,patriotfrontnews:3594,forward
patriotfrontupdates:25194,patriotfrontnews:3586,forward
patriotfrontupdates:25189,patriotfrontnews:3581,forward
patriotfrontupdates:25185,patriotfrontnews:3577,forward
patriotfrontupdates:25177,patriotfrontnews:3569,forward
patriotfrontupdates:25168,patriotfrontnews:3560,link
patriotfrontupdates:25168,patriotfrontnews:3560,forward
patriotfrontupdates:25164,patriotfrontnews:3556,forward
patriotfrontupdates:25158,patriotfrontnews:3550,forward
patriotfrontupdates:25151,patriotfrontnews:3543,forward
patriotfrontupdates:25143,patriotfrontnews:3535,forward
patriotfrontupdates:25142,patriotfrontsightings:1472,forward
patriotfrontupdates:25141,patriotfrontnews:3533,forward
patriotfrontupdates:25134,patriotfrontnews:3525,forward
patriotfrontupdates:25133,patriotfrontsightings:1451,forward
patriotfrontupdates:25130,patriotfrontnews:3521,forward
patriotfrontupdates:25124,patriotfrontnews:3515,forward
patriotfrontupdates:25120,patriotfrontnews:3511,forward
patriotfrontupdates:25116,patriotfrontnews:3507,forward
patriotfrontnews:3794,patriotfrontnews:3718,link
patriotfrontnews:3794,patriotfrontnews:3749,link
patriotfrontnews:3724,patriotfrontsightings:1480,link
patriotfrontnews:3718,patriotfrontnews:3709,link
patriotfrontnews:3697,patriotfrontsightings:1480,forward
patriotfrontnews:3696,patriotfrontsightings:1478,forward
patriotfrontnews:3560,patriotfrontnews:3560,link
patriotfrontnews:3534,patriotfrontsightings:1472,forward
patriotfrontnews:3524,patriotfrontsightings:1451,forward
patriotfrontsightings:1505,patriotfrontnews:3785,forward
patriotfrontsightings:1504,patriotfrontnews:3784,forward
patriotfrontsightings:1503,patriotfrontsightings:1374,link
patriotfrontsightings:1502,patriotfrontnews:3683,link
patriotfrontsightings:1477,patriotfrontnews:3695,forward
patriotfrontsightings:1474,patriotfrontnews:3533,link
patriotfrontsightings:1467,patriotfrontnews:3533,forward
patriotfrontsightings:1439,patriotfrontsightings:1437,link
patriotfrontsightings:1400,patriotfrontsightings:1224,link
patriotfrontsightings:1257,patriotfrontsightings:1256,link
patriotfrontsightings:1237,patriotfrontsightings:1231,link
patriotfrontsightings:1232,patriotfrontsightings:1224,link
