from,to,count,kind,type,status,reason
markacollett,unitynewsnetwork,39,broken,broken,flood_wait_exceeded,flood wait 85603s exceeds maxWait=600s
englishnationalist1066,unitynewsnetwork,27,broken,broken,flood_wait_exceeded,flood wait 85603s exceeds maxWait=600s
saintharrison,unitynewsnetwork,10,broken,broken,flood_wait_exceeded,flood wait 85603s exceeds maxWait=600s
englishnationalist1066,unitynewsnetwork,9,broken,broken,flood_wait_exceeded,flood wait 84678s exceeds maxWait=3600s
englishnationalist1066,vinniesullivan,6,broken,broken,flood_wait_exceeded,flood wait 85597s exceeds maxWait=600s
markacollett,unitynewsnetwork,6,broken,broken,flood_wait_exceeded,flood wait 84678s exceeds maxWait=3600s
realwelshnationalist,unitynewsnetwork,6,broken,broken,flood_wait_exceeded,flood wait 85603s exceeds maxWait=600s
rossmueller_dissident,unitynewsnetwork,4,broken,broken,flood_wait_exceeded,flood wait 85603s exceeds maxWait=600s
saintharrison,vinniesullivan,3,broken,broken,flood_wait_exceeded,flood wait 85597s exceeds maxWait=600s
lauratowler,unitynewsnetwork,2,broken,broken,flood_wait_exceeded,flood wait 85603s exceeds maxWait=600s
redicetv,unitynewsnetwork,2,broken,broken,flood_wait_exceeded,flood wait 85603s exceeds maxWait=600s
saintharrison,underwaterlair,2,broken,broken,flood_wait_exceeded,flood wait 85606s exceeds maxWait=600s
saintharrison,warrenbalogh88,2,broken,broken,flood_wait_exceeded,flood wait 85588s exceeds maxWait=600s
traditionalbritaingroup,unitynewsnetwork,2,broken,broken,flood_wait_exceeded,flood wait 84678s exceeds maxWait=3600s
archiviononconforme,weltanschauungitaliaofficial,1,broken,broken,flood_wait_exceeded,flood wait 84622s exceeds maxWait=3600s
korsernantes,viridogalia,1,broken,broken,flood_wait_exceeded,flood wait 85594s exceeds maxWait=600s
martinsellner_english,voxeuropaherald,1,broken,broken,flood_wait_exceeded,flood wait 85591s exceeds maxWait=600s
nativistconcern,zoomerhistorian,1,broken,broken,flood_wait_exceeded,flood wait 85552s exceeds maxWait=600s
realwelshnationalist,unitynewsnetwork,1,broken,broken,flood_wait_exceeded,flood wait 84678s exceeds maxWait=3600s
redicetv,warrenbalogh88,1,broken,broken,flood_wait_exceeded,flood wait 85588s exceeds maxWait=600s
traditionalbritaingroup,unitynewsnetwork,1,broken,broken,flood_wait_exceeded,flood wait 85603s exceeds maxWait=600s
traditionalbritaingroup,voxeuropaherald,1,broken,broken,flood_wait_exceeded,flood wait 85591s exceeds maxWait=600s
traditionalbritaingroup,zoomerhistorian,1,broken,broken,flood_wait_exceeded,flood wait 85552s exceeds maxWait=600s
ultrasnotreds8,ultrasnotreds81,326,live,link,,
matbrandi,proitalia_org,294,live,link,,
redicetv,rediceuncensored,228,live,link,,
davidkurten,heritageparty,196,live,link,,
korsernantes,memorianatio,189,live,link,,
odal24,odal_store,167,live,link,,
thexyztelegram,joeldavis_x,151,live,link,,
patrioticalternativeofficial,markacollett,137,live,link,,
bloccoverona,bloccostudentesconazionale,128,live,link,,
danerikssonse,detfriasverige,126,live,link,,
gymxiv,gymxiv2,117,live,link,,
casapoundufficiale,remigrazione_riconquista,115,live,link,,
whitelivesmatterofficial,wlm_usa_illinois,105,live,link,,
ilmastinoverona,bloccoverona,102,live,link,,
bloccostudentesconazionale,infuriatiroma,98,live,link,,
realblaircottrell,noticernews,98,live,link,,
whitelivesmatterofficial,wlm_eu_romania,98,live,link,,
ultrasnotreds2,ltrasnotreds2,95,live,link,,
englishnationalist1066,unitynewsnetwork,92,live,link,,
markacollett,unitynewsnetwork,92,live,link,,
thuletide,racerealismchannel,91,live,link,,
bloccostudentesconazionale,barabittmilano,90,live,link,,
brescia_ai_bresciani,remigrazione_riconquista,90,live,link,,
hammerandvajra,sagnamadr,85,live,link,,
ouestcasual3e,estcasual4,85,live,link,,
ultrascroatia,ascroatia2,84,live,link,,
bloccostudentesconazionale,bssardegna,83,live,link,,
afonsojfg,recon_pt,82,live,link,,
zoomerwaffen08,zoomerwaffenx,81,live,link,,
saintharrison,markacollett,77,live,link,,
krovna_yednist,krovna_yednist_zvjazok,73,live,link,,
ultrascroatia,rascroatia2,71,live,link,,
englishnationalist1066,markacollett,62,live,link,,
bloccostudentesconazionale,bstorino,61,live,link,,
ultrasnotreds8,treds_bot,59,live,link,,
germanicpaganism,thorsidr,58,live,link,,
lauratowler,markacollett,58,live,link,,
