from,to,count,status,reason
wlm_canada,wlm_canada_bc,83,flood_wait_exceeded,flood wait 73543s exceeds maxWait=3600s
wlm_usa_north_carolina,wlm_usa_north_carolina_chat,57,flood_wait_exceeded,flood wait 72969s exceeds maxWait=3600s
wlm_usa_arizona,az_action_14,34,flood_wait_exceeded,flood wait 73811s exceeds maxWait=3600s
wlm_usa_arizona,arizona_action,33,flood_wait_exceeded,flood wait 73777s exceeds maxWait=3600s
wlm_canada,wlm_bc_chat,32,flood_wait_exceeded,flood wait 73526s exceeds maxWait=3600s
wlm_usa_minnesota,whitelivesmatterofficialchat,23,not_found,"No user has ""whitelivesmatterofficialchat"" as username"
wlm_canada,wlm_bc,22,flood_wait_exceeded,flood wait 73406s exceeds maxWait=3600s
whitelivesmatterofficial,lmsubmissionbot,21,not_found,"No user has ""lmsubmissionbot"" as username"
whitelivesmatterofficial,hitelivesmatterofficial,20,not_found,"No user has ""hitelivesmatterofficial"" as username"
wlm_canada,wlm_canada_ab,19,flood_wait_exceeded,flood wait 73423s exceeds maxWait=3600s
whitelivesmatterofficial,lmcontactbot,18,not_found,"No user has ""lmcontactbot"" as username"
wlm_usa_illinois,wlm_usa_illinois_chat,14,flood_wait_exceeded,flood wait 73561s exceeds maxWait=3600s
wlm_usa_north_carolina,wlmsubmissionsbot,13,flood_wait_exceeded,flood wait 72950s exceeds maxWait=3600s
wlm_usa_wisconsin,whitelivematterofficial,13,not_found,"No user has ""whitelivematterofficial"" as username"
wlm_usa_new_york2,sugartreelegion,12,flood_wait_exceeded,flood wait 73187s exceeds maxWait=3600s
novanow,az_action_14,11,flood_wait_exceeded,flood wait 73811s exceeds maxWait=3600s
wlm_usa_arizona,lasvegasactiveclub,11,flood_wait_exceeded,flood wait 73761s exceeds maxWait=3600s
wlm_usa_washington2,elivesmatterofficial,11,not_found,"No user has ""elivesmatterofficial"" as username"
norcal_ac,ca_legion_xiv,10,flood_wait_exceeded,flood wait 72876s exceeds maxWait=3600s
whitelivesmatterofficial,telivesmatterofficial,10,not_found,"No user has ""telivesmatterofficial"" as username"
wlm_usa_north_carolina,wlm_usa_south_carolina_chat,10,flood_wait_exceeded,flood wait 72929s exceeds maxWait=3600s
paxactiveclub,ca_legion_xiv,9,flood_wait_exceeded,flood wait 72876s exceeds maxWait=3600s
hbmw88,memecannons88,8,flood_wait_exceeded,flood wait 73116s exceeds maxWait=3600s
wlm_canada,wlm_canada_toronto,8,flood_wait_exceeded,flood wait 73311s exceeds maxWait=3600s
wlm_eu_united_kingdom,itelivesmatterofficial,8,not_found,"No user has ""itelivesmatterofficial"" as username"
wlm_usa_new_york2,wlm_usa_new_york_chat2,8,flood_wait_exceeded,flood wait 73096s exceeds maxWait=3600s
wlm_usa_texas2,lmsubmissionbot,7,not_found,"No user has ""lmsubmissionbot"" as username"
herrcent,realblaircottrell,6,flood_wait_exceeded,flood wait 73828s exceeds maxWait=3600s
hersantite,realblaircottrell,6,flood_wait_exceeded,flood wait 73828s exceeds maxWait=3600s
markacollett,realblaircottrell,6,flood_wait_exceeded,flood wait 73828s exceeds maxWait=3600s
media2rise,ca_legion_xiv,6,flood_wait_exceeded,flood wait 72876s exceeds maxWait=3600s
wlm_canada,wlm_canada_qc,6,flood_wait_exceeded,flood wait 73224s exceeds maxWait=3600s
wlm_eu_poland,hitelivesmatterofficialchat,6,not_found,"No user has ""hitelivesmatterofficialchat"" as username"
wlm_eu_united_kingdom,livesmatterofficial,6,not_found,"No user has ""livesmatterofficial"" as username"
wlm_usa_arizona,wlm_usa_arizona_chat,6,flood_wait_exceeded,flood wait 73795s exceeds maxWait=3600s
wlm_usa_idaho,wlm_canada_bc,6,flood_wait_exceeded,flood wait 73543s exceeds maxWait=3600s
wlm_usa_texas2,hitelivesmatterofficial,6,not_found,"No user has ""hitelivesmatterofficial"" as username"
wlm_usa_texas2,lmcontactbot,6,not_found,"No user has ""lmcontactbot"" as username"
ohionationalistnetwork,az_action_14,5,flood_wait_exceeded,flood wait 73811s exceeds maxWait=3600s
thewesternchauvinist1,az_action_14,5,flood_wait_exceeded,flood wait 73811s exceeds maxWait=3600s
wlm_canada,canadian_nationalist_patriots,5,flood_wait_exceeded,flood wait 73472s exceeds maxWait=3600s
wlm_canada,wlm_canada_on,5,flood_wait_exceeded,flood wait 73276s exceeds maxWait=3600s
wlm_usa_arizona,arizonaactionclub,5,flood_wait_exceeded,flood wait 73689s exceeds maxWait=3600s
wlm_usa_new_york2,wlm_new_york,5,flood_wait_exceeded,flood wait 73080s exceeds maxWait=3600s
rediceuncensored,memecannons88,4,flood_wait_exceeded,flood wait 73116s exceeds maxWait=3600s
ultrasnotreds8,europarevival1,4,flood_wait_exceeded,flood wait 73652s exceeds maxWait=3600s
ultrasnotreds8,legioneuropa,4,flood_wait_exceeded,flood wait 72985s exceeds maxWait=3600s
whitelivesmatterofficial,itelivesmatterofficial,4,not_found,"No user has ""itelivesmatterofficial"" as username"
wlm_canada,bellcityns,4,flood_wait_exceeded,flood wait 73455s exceeds maxWait=3600s
