id,status,reason,total_mentions,source_group_count,source_groups
afd_duesseldorf,flood_wait_exceeded,flood wait 84882s exceeds maxWait=600s,0,0,
afd_thl,flood_wait_exceeded,flood wait 85191s exceeds maxWait=600s,0,0,
afdbrennpunkt,flood_wait_exceeded,flood wait 85002s exceeds maxWait=600s,0,0,
afderfurt,flood_wait_exceeded,flood wait 84936s exceeds maxWait=600s,0,0,
afdfraktionimbundestag,flood_wait_exceeded,flood wait 85221s exceeds maxWait=600s,0,0,
afdjugendbw,flood_wait_exceeded,flood wait 85230s exceeds maxWait=600s,0,0,
afdkanalde,flood_wait_exceeded,flood wait 84990s exceeds maxWait=600s,0,0,
afdsaxlt,flood_wait_exceeded,flood wait 84876s exceeds maxWait=600s,0,0,
afdschleswigholstein,flood_wait_exceeded,flood wait 85068s exceeds maxWait=600s,0,0,
afdthueringen,flood_wait_exceeded,flood wait 85053s exceeds maxWait=600s,0,0,
aktion451,flood_wait_exceeded,flood wait 85035s exceeds maxWait=600s,0,0,
aktivistmanuel,flood_wait_exceeded,flood wait 84909s exceeds maxWait=600s,0,0,
alex_malenki,flood_wait_exceeded,flood wait 84921s exceeds maxWait=600s,0,0,
alexsellberlin,flood_wait_exceeded,flood wait 85017s exceeds maxWait=600s,0,0,
auf1tv,flood_wait_exceeded,flood wait 85194s exceeds maxWait=600s,0,0,
aufdiestrasse,flood_wait_exceeded,flood wait 84864s exceeds maxWait=600s,0,0,
auroralorraine,flood_wait_exceeded,flood wait 85119s exceeds maxWait=600s,0,0,
benediktkaiser,flood_wait_exceeded,flood wait 85125s exceeds maxWait=600s,0,0,
benjamin_d_nolte,flood_wait_exceeded,flood wait 85062s exceeds maxWait=600s,0,0,
bjoernhoeckeafd,flood_wait_exceeded,flood wait 85200s exceeds maxWait=600s,0,0,
bruno_wolters,flood_wait_exceeded,flood wait 85023s exceeds maxWait=600s,0,0,
carstenjahn_teamheimat,flood_wait_exceeded,flood wait 84894s exceeds maxWait=600s,0,0,
castellaurora,flood_wait_exceeded,flood wait 85227s exceeds maxWait=600s,0,0,
christian_zaum_afd,flood_wait_exceeded,flood wait 84891s exceeds maxWait=600s,0,0,
christineanderson,flood_wait_exceeded,flood wait 84999s exceeds maxWait=600s,0,0,
christopherdroesslerafd,flood_wait_exceeded,flood wait 84984s exceeds maxWait=600s,0,0,
club451,flood_wait_exceeded,flood wait 85164s exceeds maxWait=600s,0,0,
compact,flood_wait_exceeded,flood wait 85107s exceeds maxWait=600s,0,0,
compactmagazin,flood_wait_exceeded,flood wait 85173s exceeds maxWait=600s,0,0,
danielhaseloffafd,flood_wait_exceeded,flood wait 84945s exceeds maxWait=600s,0,0,
