from,to,count,kind,type,status,reason
club451,oml451_bot,170,live,link,,
hcberndt,afdfraktionbb,152,live,link,,
reinweiblich,lukreta,149,live,link,,
robertteske,obertteske,108,live,link,,
ibsachsen,zentrum_chemnitz,98,live,link,,
afdschleswigholstein,kurt_kleinschmidt,92,live,link,,
aktivistmanuel,jungetat,87,live,link,,
jungealternativesh,afdschleswigholstein,78,live,link,,
afderfurt,afdthueringen,73,live,link,,
afdthueringen,bjoernhoeckeafd,70,live,link,,
jadresden,ja_sachsen,69,live,link,,
benediktkaiser,robertteske,64,live,link,,
danielhaseloffafd,afd_thl,64,live,link,,
generation_thueringen,afdthueringen,58,live,link,,
moellerth,afd_thl,57,live,link,,
aufdiestrasse,ibsachsen,56,live,link,,
danielhaseloffafd,afdthueringen,56,live,link,,
moellerth,afdthueringen,53,live,link,,
benediktkaiser,irmhild_bossdorf,52,live,link,,
alex_malenki,martinsellnerib,51,live,link,,
jungeuropa,benediktkaiser,51,live,link,,
marvintneumann,jungeuropa,51,live,link,,
ja_sachsen,jadresden,47,live,link,,
juergenpohlafd,politischebilder,47,live,link,,
afdthueringen,afd_thl,45,live,link,,
jungetat,visionremigrationch,45,live,link,,
benediktkaiser,obertteske,44,live,link,,
afdschleswigholstein,kerstinprzygoddamdb,43,live,link,,
einprozentvideos,ein_prozent,42,live,link,,
thorstenweissafd,afdfraktionberlin,42,live,link,,
marvintneumann,freilichmagazin,41,live,link,,
rene_springer,afd_brandenburg,41,live,link,,
afdschleswigholstein,gereonbollmannmdb,40,live,link,,
ibsachsen,identitaeredeutschland,40,live,link,,
vorstadtaktivist,jungetat,40,live,link,,
afdjugendbw,jadeutschland,39,live,link,,
christopherdroesslerafd,afdthueringen,39,live,link,,
reconquista21,identitaeredeutschland,36,live,link,,
christopherdroesslerafd,afd_thl,34,live,link,,
kiesdries,ijzerwake,34,live,link,,
wolfpmsoffiziell,ein_prozent,34,live,link,,
aufdiestrasse,aktionsmelder,33,live,link,,
prototelegram,mkdnds,33,live,link,,
reinweiblich,krautzone,33,live,link,,
selina_sunnetanz,jungetat,33,live,link,,
aktivistmanuel,visionremigrationch,32,live,link,,
christian_zaum_afd,jungealternativenrw,32,live,link,,
martinsellnervideos,martinsellnerib,32,live,link,,
benediktkaiser,jungeuropa,31,live,link,,
lukreta,reinweiblich,31,live,link,,
christopherdroesslerafd,christopherafd,29,live,link,,
ja_sachsen,jadeutschland,29,live,link,,
selina_sunnetanz,visionremigrationch,29,live,link,,
club451,omladina451,27,live,link,,
juergenpohlafd,afdthueringen,27,live,link,,
