id,label,subscribers
afd_duesseldorf,AfD Düsseldorf,202
afd_thl,AfD-Fraktion Thüringen,4896
afdbrennpunkt,AfD Brennpunkt,17906
afderfurt,AfD Erfurt,576
afdfraktionimbundestag,AfDFraktionimBundestag,4713
afdjugendbw,Generation Deutschland - BW Info-Kanal,753
afdkanalde,AfD-Pressespiegel,408
afdsaxlt,AfD Fraktion Sachsen,1041
afdschleswigholstein,AfD Schleswig-Holstein,555
afdthueringen,AfD Thüringen,4474
aktion451,Aktion451,1286
aktivistmanuel,Manuel Corchia,531
alex_malenki,Malenki,2162
alexsellberlin,"Dr. Alexander Sell, MEP",288
auf1tv,AUF1,288071
aufdiestrasse,Aktion Ost,1794
auroralorraine,Aurora - Lorraine,772
benediktkaiser,Benedikt Kaiser,2402
benjamin_d_nolte,🇩🇪 Benjamin D. Nolte - AfD 🇩🇪,688
bjoernhoeckeafd,Björn Höcke,49500
bruno_wolters,Bruno Wolters,689
carstenjahn_teamheimat,Carsten Jahn - TEAM HEIMAT,70077
castellaurora,Castell Aurora,1072
christian_zaum_afd,Christian Zaum MdB,248
christineanderson,"Christine Anderson, MdEP (AfD)",39547
christopherdroesslerafd,Christopher Drößler,233
club451,Клуб 451,1914
compact,Compact Community Chat,1132
compactmagazin,COMPACT-Magazin,80495
danielhaseloffafd,Daniel Haseloff,518
dekurier,DeutschlandKURIER,15854
dereckart,Der Eckart,248
derstatus,DerStatus.at,6516
deutschlandkuriervideo,DK | Videos,946
dieganzegeschichte,Die ganze Geschichte,599
dominikkaufner,Dr. Dominik Kaufner MdL,292
ein_prozent,Ein Prozent,13489
einprozentvideos,EinProzent | Videoarchiv,702
fabianjankafd,Fabian Jank - AfD,384
franzschmidafd,Franz Schmid - MdL - AfD,459
freiesachsen,Freie Sachsen,118360
freilichmagazin,Freilich Magazin,3069
frohnmaier,Markus Frohnmaier MdB,1376
generation_thueringen,Generation Thüringen,492
generationdeutschland,GenerationDe_By,1087
gerwinl,Gerwin Lovrecki Kanal,8222
gfroemming,"Götz Frömming MdB, AfD-Fraktion im Bundestag",465
grimbart_studio,Grimbart Studio,1535
guerillavideos,Guerilla Videos,376
haintz,HAINTZ.media,78235
hannesgnauck,Hannes Gnauck MdB,496
hcberndt,Dr. Christoph Berndt,1078
heimatkurier,📢 Heimatkurier,9959
hkickl,Herbert Kickl,34629
hydracomicsdd,Hydra Comics,625
ibsachsen,SachsenGarde,1972
idearium_debattennetzwerk,Idearium - Debatten-Netzwerk,571
identitaeredeutschland,Identitäre Bewegung Deutschland,10198
identitaereoesterreich,Identitäre Bewegung Österreich,3704
ignazbearth,Ignaz Bearth offiziell,35999
imbolcslicht,ImbolcsLicht,808
info_direkt,Info-DIREKT - Das Magazin für Patrioten,12009
irmhild_bossdorf,Irmhild Boßdorf MdEP,422
ja_sachsen,Junge Alternative Sachsen 🇩🇪,572
jadeutschland,Junge Alternative Deutschland,3989
jadresden,JA Dresden,235
janwenzelschmidt,Jan Wenzel Schmidt MdB,633
jouwatch,Jouwatch,9440
juergenpohlafd,Jürgen Pohl — Der Volksanwalt,486
junge_freiheit_official,JUNGE FREIHEIT,20281
jungealternativelsa,Generation Deutschland LSA,858
jungealternativenrw,Generation 🇩🇪 NRW,734
jungealternativeschwaben,Jugendgruppe Schwaben,248
jungealternativesh,Generation Deutschland - Schleswig-Holstein,249
jungetat,JUNGE TAT,8843
jungeuropa,Jungeuropa,2739
kaernten_geht_in_die_offensive,KÄRNTEN geht in die Offensive 🤝,1083
kiesdries,Dries Van Langenhove,11375
klartextbaum,Klartext von Dr. Christina Baum MdB,4041
komitet212,Комитет 212,448
krah_direkt,Krah Direkt,1714
krautzone,Krautzone,10182
kulturfestung,🇦🇹 Kulturfestung - patriotischer Freiraum,462
kvltgames,KVLTGAMES,1861
lionedler,Lion Edler,1325
lukreta,Lukreta ✌🏼,2976
marcus_buehl,Marcus Bühl AfD MdB,323
martinctkohler,Martin Kohler - AfD 🇩🇪,204
martinsellnerib,🔵 Martin Sellner [TELEGRAMELITE],76153
martinsellnervideos,🎦 Martin Sellner - Videos & Audios,13744
marvintneumann,Marvin T. Neumann,654
marykhanafd,Mary Khan (AfD),385
matthiashelferich,Matthias Helferich,2225
moellerth,Stefan Möller,1119
nicht_normal,Neue Normalität,23340
niusde,Nius,29437
prototelegram,Proto NDS ❌,4169
reconquista21,R21,1930
reinweiblich,Reinhild Boßdorf ✌🏼🖊️,1035
rene_springer,René Springer,860
report24news,Report24.news,51759
rfjooe,Freiheitliche Jugend OÖ,231
robertteske,Robert Teske,636
rtvooe,RTV Privatfernsehen,6968
selina_sunnetanz,Selina Sunnetanz,211
soldaten_und_reservisten,Soldaten & Reservisten,17234
spanielmdb,"Dr. Dirk Spaniel, ex-MdB",1433
stefanmagnet,Stefan Magnet,71284
tannwaldmedia,Tannwald Media,207
teamaust,TeamAust - reneaust.eu,1185
thorstenweissafd,"Thorsten Weiß, MdA",457
thymosmagazin,Thymos Magazin,553
tomaszfroelich,Tomasz Froelich,471
unitedworldinternational,United World International,485
visionremigrationch,Vision Remigration,453
vorstadtaktivist,Tobias - Junge Tat,600
voxeuropaherald,Voxeuropa Herald,397
waldgangalbdruck,Der Waldgang,14750
wiebkemuhsal,Wiebke Muhsal,571
wilhelmkachel,Wilhelm Kachel,4808
wolfpmsoffiziell,WolfPMS,1385
zeitschrift_sezession,Zeitschrift Sezession,3003
zentrum_chemnitz,Zentrum Chemnitz,961
zurlage,Zur Lage 🔔 Rundbrief,1144
