id,label,subscribers
academiachristiana,Academia Christiana,4181
alicecordier1,Alice Cordier,1317
aquatennens,Actualités d'Adrien Quatennens,3117
arktosmedia,Arktos,6058
assosla,ASLA,1033
auctorum,AUCTORUM,1597
aurelienverhassel,🟡 Aurélien Verhassel,829
avecmarion,🇫🇷 Identité Libertés - IDL - Avec Marion,2378
bobardsdor,Les Bobards d'Or,366
bonnedroite,Une Bonne Droite (UBD),6774
breizhinfofficiel,Breizh info,2303
clermont_nc,Clermont Non Conforme,1440
comitedu9mai,COMITÉ DU 9 MAI 🏴,5807
damienrieu,🔴 Damien Rieu,22276
danielconversano,🔥 Daniel Conversano ️,13971
dexterafrance,Dextera,352
egononofficiel,Ego Non,2049
emmanuelmacron,Emmanuel Macron,32878
faitsetdocuments,Faits & Documents,16340
fdesoucheofficiel,Fdesouche,16371
generationidentitaer,Generation Identitær Danmark,1016
generationidentitaire,Génération Identitaire,4821
generationidentitairelyon,Jour,362
generationidentity,Generation Identity,937
gilbertcollard,Gilbert Collard,2535
golemsklub2,Golems Klub,12469
gregoryroose,Grégory Roose,3789
helixdijon,Helix Dijon,592
heritagefr,Héritage Français,953
identitasgeneracio,Identitás Generáció,340
institutiliade,Institut ILIADE,4298
institutocarlosv,Instituto Carlos V,516
issep_lyon,ISSEP,612
istitutoeneide,Istituto Eneide,249
jean_eudesgannat,Jean-Eudes Gannat,4498
justicepourlesnotres,Collectif Justice pour les Nôtres,250
jylgallou,Jean-Yves Le Gallou,1007
kimjongunique,KimJongUnique 👖,19977
lacocardeetudiante,La Cocarde Étudiante,1746
lanouvellelibrairie,La Nouvelle Librairie,1929
les_prohibes,Les Prohibés 👊🇫🇷,613
lesidentitaires,Les Identitaires,556
lesnatifsparis,Les Natifs,1926
letudiantlibre,L’ÉTUDIANT LIBRE,1610
librairielogos,Librairie Logos,1681
lignedroite,Ligne Droite,2405
livrenoir,Frontières média,13913
luminisparis,Luminis,2886
marionmarechal,Marion Maréchal,14159
milafique,Milafique - Le Canal Problématique,2880
nemesisparis,Collectif Némésis,5250
nfaure,Nicolas Faure – Sunrise 🌅,2168
nouveaupresent,Nouveau Présent,393
observatoiredujournalisme,Observatoire du journalisme,1185
parisfierte,Paris Fierté,301
parisnatio,Paris Nationaliste,1371
parisvoxinfo,Paris Vox,415
pmbonneau,🇫🇷 Pierre-Marie Bonneau,902
polemia_fr,Polémia,1007
pvardon,🔵 Philippe Vardon,1268
pyr88,Pierre-Yves Rougeyron 88,378
radiomeridienzero,Radio Méridien Zéro,944
rassemblementnational,Rassemblement National,6127
rebellionosre,Rébellion SRE,474
renaudcamustelegram,Renaud Camus,2994
resum25,Remigration Summit,2109
reveuseeveilleee,Rêveuse éveillée,9766
revue_elements,Revue éléments,1323
rybar_in_english,Rybar in English,100347
thaisdescufon,🔵 Thaïs d’Escufon,15918
tvlibertes,TV Libertés,9001
voxeuropaherald,Voxeuropa Herald,444
widerstandinbewegung,Widerstand in Bewegung,2545
zentropa451,Zentropa,7327
