id,status,reason,total_mentions,source_group_count,source_groups
wlm_canada_bc,flood_wait_exceeded,flood wait 73543s exceeds maxWait=3600s,178,2,wlm_canada|wlm_usa_idaho
az_action_14,flood_wait_exceeded,flood wait 73811s exceeds maxWait=3600s,116,5,alamoxiv|novanow|ohionationalistnetwork|thewesternchauvinist1|wlm_usa_arizona
wlm_usa_north_carolina_chat,flood_wait_exceeded,flood wait 72969s exceeds maxWait=3600s,116,2,wlm_usa_north_carolina|wlm_usa_tennessee
realblaircottrell,flood_wait_exceeded,flood wait 73828s exceeds maxWait=3600s,82,19,fashposting|herrcent|hersantite|howtoirritatejews|markacollett|noticernews|ohionationalistnetwork|siciliangorillian2|theaustralianvanguard|thewesternchauvinist1|thewesternchauvinist7|tomsewelluncensored|wlm_eu_romania|wlm_usa_colorado|wlm_usa_michigan|wlm_usa_minnesota|wlm_usa_pennsylvania|wlm_usa_texas|wlm_usa_texas2
ca_legion_xiv,flood_wait_exceeded,flood wait 72876s exceeds maxWait=3600s,78,12,bigskyac_uncensor3d|evropean_americans|media2rise|norcal_ac|ohionationalistnetwork|paxactiveclub|sharedefiant|whitelads|wlm_usa_california|wlm_usa_idaho|wlm_usa_north_carolina|wlm_usa_tennessee
wlm_bc_chat,flood_wait_exceeded,flood wait 73526s exceeds maxWait=3600s,68,2,wlm_canada|wlm_usa_idaho
arizona_action,flood_wait_exceeded,flood wait 73777s exceeds maxWait=3600s,66,1,wlm_usa_arizona
europa_the_last_battle_blu_ray,invalid_username,username invalid,64,18,wlm_canada|wlm_eu_czech_republic|wlm_eu_italy|wlm_eu_netherlands|wlm_eu_poland|wlm_eu_united_kingdom|wlm_usa_arizona|wlm_usa_california|wlm_usa_michigan|wlm_usa_minnesota|wlm_usa_montana|wlm_usa_new_york2|wlm_usa_north_carolina|wlm_usa_oregon|wlm_usa_pennsylvania|wlm_usa_texas|wlm_usa_texas2|wlmofficial14
lmsubmissionbot,not_found,"No user has ""lmsubmissionbot"" as username",62,3,whitelivesmatterofficial|wlm_eu_united_kingdom|wlm_usa_texas2
elivesmatterofficial,not_found,"No user has ""elivesmatterofficial"" as username",60,11,wlm_eu_czech_republic|wlm_eu_italy|wlm_eu_netherlands|wlm_eu_poland|wlm_usa_california|wlm_usa_new_york2|wlm_usa_north_carolina|wlm_usa_texas|wlm_usa_texas2|wlm_usa_washington2|wlm_usa_washington3
lmcontactbot,not_found,"No user has ""lmcontactbot"" as username",58,4,whitelivesmatterofficial|wlm_eu_united_kingdom|wlm_usa_texas2|wlm_usa_washington3
whitelivesmatterofficialchat,not_found,"No user has ""whitelivesmatterofficialchat"" as username",56,4,wlm_canada|wlm_usa_minnesota|wlm_usa_north_carolina|wlm_usa_washington2
hitelivesmatterofficial,not_found,"No user has ""hitelivesmatterofficial"" as username",52,2,whitelivesmatterofficial|wlm_usa_texas2
hitelivesmatterofficialchat,not_found,"No user has ""hitelivesmatterofficialchat"" as username",46,8,wlm_canada|wlm_eu_poland|wlm_eu_russia_chat|wlm_eu_slovakia|wlm_eu_united_kingdom|wlm_usa_arizona|wlm_usa_oregon|wlm_usa_tennessee
wlm_bc,flood_wait_exceeded,flood wait 73406s exceeds maxWait=3600s,46,2,wlm_canada|wlm_usa_idaho
itelivesmatterofficial,not_found,"No user has ""itelivesmatterofficial"" as username",44,8,whitelivesmatterofficial|wlm_eu_czech_republic|wlm_eu_russia|wlm_eu_united_kingdom|wlm_usa_california|wlm_usa_minnesota|wlm_usa_texas2|wlm_usa_washington3
mofficial14,not_found,"No user has ""mofficial14"" as username",44,20,wlm_canada|wlm_eu_czech_republic|wlm_eu_italy|wlm_eu_netherlands|wlm_eu_poland|wlm_eu_russia|wlm_eu_ukraine|wlm_eu_united_kingdom|wlm_usa_arizona|wlm_usa_california|wlm_usa_illinois|wlm_usa_michigan|wlm_usa_minnesota|wlm_usa_montana|wlm_usa_new_jersey|wlm_usa_new_york2|wlm_usa_north_carolina|wlm_usa_pennsylvania|wlm_usa_texas|wlm_usa_washington2
wlm_usa_illinois_chat,flood_wait_exceeded,flood wait 73561s exceeds maxWait=3600s,44,6,wlm_usa_idaho|wlm_usa_illinois|wlm_usa_michigan|wlm_usa_minnesota|wlm_usa_ohio|wlm_usa_wisconsin
dellvett,flood_wait_exceeded,flood wait 74005s exceeds maxWait=3600s,42,16,wlm_canada|wlm_eu_czech_republic|wlm_eu_poland|wlm_eu_slovakia|wlm_eu_united_kingdom|wlm_usa_arizona|wlm_usa_california|wlm_usa_colorado|wlm_usa_idaho|wlm_usa_north_carolina|wlm_usa_ohio|wlm_usa_oregon|wlm_usa_pennsylvania|wlm_usa_tennessee|wlm_usa_washington2|wlm_usa_wisconsin
telivesmatterofficial,not_found,"No user has ""telivesmatterofficial"" as username",40,4,whitelivesmatterofficial|wlm_eu_united_kingdom|wlm_usa_texas2|wlm_usa_washington3
wlm_canada_ab,flood_wait_exceeded,flood wait 73423s exceeds maxWait=3600s,38,1,wlm_canada
memecannons88,flood_wait_exceeded,flood wait 73116s exceeds maxWait=3600s,32,5,hbmw88|rediceuncensored|siciliangorillian2|wlm_usa_new_jersey|wlm_usa_new_york2
whitelivematterofficial,not_found,"No user has ""whitelivematterofficial"" as username",32,2,wlm_usa_minnesota|wlm_usa_wisconsin
newrightnews,invalid_username,username invalid,28,7,sharedefiant|wlm_eu_netherlands|wlm_usa_arizona|wlm_usa_california|wlm_usa_pennsylvania|wlm_usa_texas|wlm_usa_wisconsin
